json_name,id,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag
kijkgeschiedenis.json,kijkgeschiedenis:header,header,"[""header""]",[],"[""header""]",list,string,geschiedenis/kijkgeschiedenis.json,No
kijkgeschiedenis.json,kijkgeschiedenis:title,title,"[""title""]",[],"[""title""]",list,string,geschiedenis/kijkgeschiedenis.json,No
kijkgeschiedenis.json,kijkgeschiedenis:titleUrl,titleUrl,"[""titleUrl""]",[],"[""titleUrl""]",list,string,geschiedenis/kijkgeschiedenis.json,No
kijkgeschiedenis.json,kijkgeschiedenis:time,time,"[""time""]",[],"[""time""]",list,string,geschiedenis/kijkgeschiedenis.json,No
kijkgeschiedenis.json,kijkgeschiedenis:products,products,"[""products""]",[],"[""products""]",list,string,geschiedenis/kijkgeschiedenis.json,No
kijkgeschiedenis.json,kijkgeschiedenis:activityControls,activityControls,"[""activityControls""]",[],"[""activityControls""]",list,string,geschiedenis/kijkgeschiedenis.json,No
zoekgeschiedenis.json,zoekgeschiedenis:header,header,"[""header""]",[],"[""header""]",list,string,geschiedenis/zoekgeschiedenis.json,No
zoekgeschiedenis.json,zoekgeschiedenis:title,title,"[""title""]",[],"[""title""]",list,string,geschiedenis/zoekgeschiedenis.json,No
zoekgeschiedenis.json,zoekgeschiedenis:titleUrl,titleUrl,"[""titleUrl""]",[],"[""titleUrl""]",list,string,geschiedenis/zoekgeschiedenis.json,No
zoekgeschiedenis.json,zoekgeschiedenis:time,time,"[""time""]",[],"[""time""]",list,string,geschiedenis/zoekgeschiedenis.json,No
zoekgeschiedenis.json,zoekgeschiedenis:products,products,"[""products""]",[],"[""products""]",list,string,geschiedenis/zoekgeschiedenis.json,No
zoekgeschiedenis.json,zoekgeschiedenis:activityControls,activityControls,"[""activityControls""]",[],"[""activityControls""]",list,string,geschiedenis/zoekgeschiedenis.json,No
kijkgeschiedenis.json,kijkgeschiedenis:name,name,"[""subtitles"", ""name""]","[""subtitles""]","[""name""]",list,string,geschiedenis/kijkgeschiedenis.json,No
kijkgeschiedenis.json,kijkgeschiedenis:url,url,"[""subtitles"", ""url""]","[""subtitles""]","[""url""]",list,string,geschiedenis/kijkgeschiedenis.json,No
watch-history.json,watch-history:header,header,"[""header""]",[],"[""header""]",list,string,youtube_takeout/history/watch-history.json,Yes
watch-history.json,watch-history:title,title,"[""title""]",[],"[""title""]",list,string,youtube_takeout/history/watch-history.json,Yes
watch-history.json,watch-history:time,time,"[""time""]",[],"[""time""]",list,string,youtube_takeout/history/watch-history.json,Yes
watch-history.json,watch-history:products,products,"[""products""]",[],"[""products""]",list,string,youtube_takeout/history/watch-history.json,Yes
watch-history.json,watch-history:activityControls,activityControls,"[""activityControls""]",[],"[""activityControls""]",list,string,youtube_takeout/history/watch-history.json,Yes
search-history.json,search-history:header,header,"[""header""]",[],"[""header""]",list,string,youtube_takeout/history/search-history.json,Yes
