id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag,keepID,date_added,file_path
Tiktok Live:Go Live Settings:SettingsMap:People you assigned to moderate your LIVE,People you assigned to moderate your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]","[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]",[],list,array,,Yes,Tiktok Live:Go Live Settings:SettingsMap:People you assigned to moderate your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:People you assigned to moderate your LIVE,People you assigned to moderate your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]","[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]",[],list,array,,Yes,Tiktok Live:Go Live Settings:SettingsMap:People you assigned to moderate your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Hide comments that contain the following keywords from your LIVE,Hide comments that contain the following keywords from your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]","[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]",[],list,array,,Yes,Tiktok Live:Go Live Settings:SettingsMap:Hide comments that contain the following keywords from your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Hide comments that contain the following keywords from your LIVE,Hide comments that contain the following keywords from your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]","[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]",[],list,array,,Yes,Tiktok Live:Go Live Settings:SettingsMap:Hide comments that contain the following keywords from your LIVE,pre-trial,
Comment:Comments:CommentsList:url,url,"[""Comment"", ""Comments"", ""CommentsList"", ""url""]","[""Comment"", ""Comments"", ""CommentsList""]","[""url""]",list,string,,No,Comment:Comments:CommentsList:url,pre-trial,
Comment:Comments:CommentsList:photo,photo,"[""Comment"", ""Comments"", ""CommentsList"", ""photo""]","[""Comment"", ""Comments"", ""CommentsList""]","[""photo""]",list,string,,No,Comment:Comments:CommentsList:photo,pre-trial,
Activity:Like List:ItemFavoriteList:link,link,"[""Activity"", ""Like List"", ""ItemFavoriteList"", ""link""]","[""Activity"", ""Like List"", ""ItemFavoriteList""]","[""link""]",list,string,,No,Activity:Like List:ItemFavoriteList:link,pre-trial,
Your Activity:Like List:ItemFavoriteList:link,link,"[""Your Activity"", ""Like List"", ""ItemFavoriteList"", ""link""]","[""Your Activity"", ""Like List"", ""ItemFavoriteList""]","[""link""]",list,string,,No,Activity:Like List:ItemFavoriteList:link,pre-trial,
Your Activity:Like List:ItemFavoriteList:date,date,"[""Your Activity"", ""Like List"", ""ItemFavoriteList"", ""date""]","[""Your Activity"", ""Like List"", ""ItemFavoriteList""]","[""date""]",list,string,,No,Activity:Like List:ItemFavoriteList:date,pre-trial,
Activity:Like List:ItemFavoriteList:date,date,"[""Activity"", ""Like List"", ""ItemFavoriteList"", ""date""]","[""Activity"", ""Like List"", ""ItemFavoriteList""]","[""date""]",list,string,,No,Activity:Like List:ItemFavoriteList:date,pre-trial,
Comment:Comments:CommentsList:date,date,"[""Comment"", ""Comments"", ""CommentsList"", ""date""]","[""Comment"", ""Comments"", ""CommentsList""]","[""date""]",list,string,,No,Comment:Comments:CommentsList:date,pre-trial,
Comment:Comments:CommentsList:comment,comment,"[""Comment"", ""Comments"", ""CommentsList"", ""comment""]","[""Comment"", ""Comments"", ""CommentsList""]","[""comment""]",list,string,,No,Comment:Comments:CommentsList:comment,pre-trial,
Your Activity:Share History:ShareHistoryList,ShareHistoryList,"[""Your Activity"", ""Share History"", ""ShareHistoryList""]",,"[""Your Activity"", ""Share History"", ""ShareHistoryList""]",static,object,,No,Your Activity:Share History:ShareHistoryList,pre-trial,
Your Activity:Purchases:SendGifts:SendGifts,SendGifts,"[""Your Activity"", ""Purchases"", ""SendGifts"", ""SendGifts""]",,"[""Your Activity"", ""Purchases"", ""SendGifts"", ""SendGifts""]",static,object,,No,,pre-trial,
Your Activity:Purchases:BuyGifts:BuyGifts,BuyGifts,"[""Your Activity"", ""Purchases"", ""BuyGifts"", ""BuyGifts""]",,"[""Your Activity"", ""Purchases"", ""BuyGifts"", ""BuyGifts""]",static,object,,No,,pre-trial,
Your Activity:Most Recent Location Data:LocationData:LastRegion,LastRegion,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""LastRegion""]",,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""LastRegion""]",static,string,,No,,pre-trial,
Your Activity:Most Recent Location Data:LocationData:GpsData,GpsData,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""GpsData""]",,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""GpsData""]",static,string,,No,,pre-trial,
Your Activity:Most Recent Location Data:LocationData:Date,Date,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""Date""]",,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""Date""]",static,string,,No,,pre-trial,
Your Activity:Login History:LoginHistoryList,LoginHistoryList,"[""Your Activity"", ""Login History"", ""LoginHistoryList""]",,"[""Your Activity"", ""Login History"", ""LoginHistoryList""]",static,object,,No,,pre-trial,
Your Activity:Like List:ItemFavoriteList,ItemFavoriteList,"[""Your Activity"", ""Like List"", ""ItemFavoriteList""]",,"[""Your Activity"", ""Like List"", ""ItemFavoriteList""]",static,object,,No,Your Activity:Like List:ItemFavoriteList,pre-trial,
Your Activity:Like List:App,App,"[""Your Activity"", ""Like List"", ""App""]",,"[""Your Activity"", ""Like List"", ""App""]",static,number,,No,,pre-trial,
Your Activity:Hashtag:HashtagList,HashtagList,"[""Your Activity"", ""Hashtag"", ""HashtagList""]",,"[""Your Activity"", ""Hashtag"", ""HashtagList""]",static,object,,No,Your Activity:Hashtag:HashtagList,pre-trial,
Your Activity:Following:IsFastLane,IsFastLane,"[""Your Activity"", ""Following"", ""IsFastLane""]",,"[""Your Activity"", ""Following"", ""IsFastLane""]",static,boolean,,No,,pre-trial,
Your Activity:Following:Following,Following,"[""Your Activity"", ""Following"", ""Following""]",,"[""Your Activity"", ""Following"", ""Following""]",static,object,,No,Your Activity:Following:Following,pre-trial,
Your Activity:Following:App,App,"[""Your Activity"", ""Following"", ""App""]",,"[""Your Activity"", ""Following"", ""App""]",static,number,,No,,pre-trial,
Your Activity:Follower:IsFastLane,IsFastLane,"[""Your Activity"", ""Follower"", ""IsFastLane""]",,"[""Your Activity"", ""Follower"", ""IsFastLane""]",static,boolean,,No,,pre-trial,
Your Activity:Follower:FansList,FansList,"[""Your Activity"", ""Follower"", ""FansList""]",,"[""Your Activity"", ""Follower"", ""FansList""]",static,object,,No,Your Activity:Follower:FansList,pre-trial,
Your Activity:Follower:App,App,"[""Your Activity"", ""Follower"", ""App""]",,"[""Your Activity"", ""Follower"", ""App""]",static,number,,No,,pre-trial,
Your Activity:Favorite Videos:FavoriteVideoList,FavoriteVideoList,"[""Your Activity"", ""Favorite Videos"", ""FavoriteVideoList""]",,"[""Your Activity"", ""Favorite Videos"", ""FavoriteVideoList""]",static,object,,No,Your Activity:Favorite Videos:FavoriteVideoList,pre-trial,
Your Activity:Favorite Videos:App,App,"[""Your Activity"", ""Favorite Videos"", ""App""]",,"[""Your Activity"", ""Favorite Videos"", ""App""]",static,number,,No,,pre-trial,
Your Activity:Favorite Sounds:FavoriteSoundList,FavoriteSoundList,"[""Your Activity"", ""Favorite Sounds"", ""FavoriteSoundList""]",,"[""Your Activity"", ""Favorite Sounds"", ""FavoriteSoundList""]",static,object,,No,Your Activity:Favorite Sounds:FavoriteSoundList,pre-trial,
Your Activity:Favorite Hashtags:FavoriteHashtagList,FavoriteHashtagList,"[""Your Activity"", ""Favorite Hashtags"", ""FavoriteHashtagList""]",,"[""Your Activity"", ""Favorite Hashtags"", ""FavoriteHashtagList""]",static,object,,No,Your Activity:Favorite Hashtags:FavoriteHashtagList,pre-trial,
Your Activity:Favorite Effects:FavoriteEffectsList,FavoriteEffectsList,"[""Your Activity"", ""Favorite Effects"", ""FavoriteEffectsList""]",,"[""Your Activity"", ""Favorite Effects"", ""FavoriteEffectsList""]",static,object,,No,Your Activity:Favorite Effects:FavoriteEffectsList,pre-trial,
Your Activity:Activity Summary:ActivitySummaryMap:videosWatchedToTheEndSinceAccountRegistration,videosWatchedToTheEndSinceAccountRegistration,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosWatchedToTheEndSinceAccountRegistration""]",,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosWatchedToTheEndSinceAccountRegistration""]",static,number,,No,Activity:Activity Summary:ActivitySummaryMap:videosWatchedToTheEndSinceAccountRegistration,pre-trial,
Your Activity:Activity Summary:ActivitySummaryMap:videosSharedSinceAccountRegistration,videosSharedSinceAccountRegistration,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosSharedSinceAccountRegistration""]",,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosSharedSinceAccountRegistration""]",static,number,,No,Activity:Activity Summary:ActivitySummaryMap:videosSharedSinceAccountRegistration,pre-trial,
Your Activity:Activity Summary:ActivitySummaryMap:videosCommentedOnSinceAccountRegistration,videosCommentedOnSinceAccountRegistration,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosCommentedOnSinceAccountRegistration""]",,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosCommentedOnSinceAccountRegistration""]",static,number,,No,Activity:Activity Summary:ActivitySummaryMap:videosCommentedOnSinceAccountRegistration,pre-trial,
Your Activity:Activity Summary:ActivitySummaryMap:note,note,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""note""]",,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""note""]",static,string,,No,,pre-trial,
Post:Posts:VideoList:WhoCanView,WhoCanView,"[""Post"", ""Posts"", ""VideoList"", ""WhoCanView""]","[""Post"", ""Posts"", ""VideoList""]","[""WhoCanView""]",list,string,,No,Video:Videos:VideoList:WhoCanView,pre-trial,
Video:Videos:VideoList:WhoCanView,WhoCanView,"[""Video"", ""Videos"", ""VideoList"", ""WhoCanView""]","[""Video"", ""Videos"", ""VideoList""]","[""WhoCanView""]",list,string,,No,Video:Videos:VideoList:WhoCanView,pre-trial,
Your Activity:Status:Status List:Web ID,Web ID,"[""Your Activity"", ""Status"", ""Status List"", ""Web ID""]","[""Your Activity"", ""Status"", ""Status List""]","[""Web ID""]",list,string,,No,,pre-trial,
Activity:Status:Status List:Web ID,Web ID,"[""Activity"", ""Status"", ""Status List"", ""Web ID""]","[""Activity"", ""Status"", ""Status List""]","[""Web ID""]",list,string,,No,,pre-trial,
Your Activity:Follower:FansList:UserName,UserName,"[""Your Activity"", ""Follower"", ""FansList"", ""UserName""]","[""Your Activity"", ""Follower"", ""FansList""]","[""UserName""]",list,string,,No,Activity:Follower List:FansList:UserName,pre-trial,
App Settings:Block:BlockList:UserName,UserName,"[""App Settings"", ""Block"", ""BlockList"", ""UserName""]","[""App Settings"", ""Block"", ""BlockList""]","[""UserName""]",list,string,,No,App Settings:Block:BlockList:UserName,pre-trial,
Your Activity:Following:Following:UserName,UserName,"[""Your Activity"", ""Following"", ""Following"", ""UserName""]","[""Your Activity"", ""Following"", ""Following""]","[""UserName""]",list,string,,No,Activity:Following List:Following:UserName,pre-trial,
Activity:Follower List:FansList:UserName,UserName,"[""Activity"", ""Follower List"", ""FansList"", ""UserName""]","[""Activity"", ""Follower List"", ""FansList""]","[""UserName""]",list,string,,No,Activity:Follower List:FansList:UserName,pre-trial,
Activity:Following List:Following:UserName,UserName,"[""Activity"", ""Following List"", ""Following"", ""UserName""]","[""Activity"", ""Following List"", ""Following""]","[""UserName""]",list,string,,No,Activity:Following List:Following:UserName,pre-trial,
Post:Posts:VideoList:Title,Title,"[""Post"", ""Posts"", ""VideoList"", ""Title""]","[""Post"", ""Posts"", ""VideoList""]","[""Title""]",list,string,,No,Video:Videos:VideoList:Title,pre-trial,
Video:RecentlyDeletedPosts:PostList:Title,Title,"[""Video"", ""RecentlyDeletedPosts"", ""PostList"", ""Title""]","[""Video"", ""RecentlyDeletedPosts"", ""PostList""]","[""Title""]",list,string,,No,,pre-trial,
Video:Videos:VideoList:Title,Title,"[""Video"", ""Videos"", ""VideoList"", ""Title""]","[""Video"", ""Videos"", ""VideoList""]","[""Title""]",list,string,,No,Video:Videos:VideoList:Title,pre-trial,
Tiktok Live:Watch Live Settings:WatchLiveSettingsMap:web,web,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""web""]",,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""web""]",static,string,,No,,pre-trial,
Tiktok Live:Watch Live Settings:WatchLiveSettingsMap:app,app,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""app""]",,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""app""]",static,string,,No,,pre-trial,
Tiktok Live:Watch Live Settings:MostRecentModificationTimeInWeb,MostRecentModificationTimeInWeb,"[""Tiktok Live"", ""Watch Live Settings"", ""MostRecentModificationTimeInWeb""]",,"[""Tiktok Live"", ""Watch Live Settings"", ""MostRecentModificationTimeInWeb""]",static,string,,No,,pre-trial,
Tiktok Live:Watch Live Settings:MostRecentModificationTimeInApp,MostRecentModificationTimeInApp,"[""Tiktok Live"", ""Watch Live Settings"", ""MostRecentModificationTimeInApp""]",,"[""Tiktok Live"", ""Watch Live Settings"", ""MostRecentModificationTimeInApp""]",static,string,,No,,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Show your username and gift information in features with ranking lists,Show your username and gift information in features with ranking lists,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Show your username and gift information in features with ranking lists""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Show your username and gift information in features with ranking lists""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Show your username and gift information in features with ranking lists,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:People you assigned to moderate your LIVE,People you assigned to moderate your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]",static,array,,Yes,Tiktok Live:Go Live Settings:SettingsMap:People you assigned to moderate your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:People you assigned to moderate your LIVE,People you assigned to moderate your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]",static,array,,Yes,Tiktok Live:Go Live Settings:SettingsMap:People you assigned to moderate your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Hide potential spam or offensive comments from your LIVE,Hide potential spam or offensive comments from your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide potential spam or offensive comments from your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide potential spam or offensive comments from your LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Hide potential spam or offensive comments from your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Hide comments that contain the following keywords from your LIVE,Hide comments that contain the following keywords from your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]",static,array,,Yes,Tiktok Live:Go Live Settings:SettingsMap:Hide comments that contain the following keywords from your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Hide comments that contain the following keywords from your LIVE,Hide comments that contain the following keywords from your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]",static,array,,Yes,Tiktok Live:Go Live Settings:SettingsMap:Hide comments that contain the following keywords from your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to send you gifts during your LIVE,Allow viewers to send you gifts during your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to send you gifts during your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to send you gifts during your LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to send you gifts during your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to see and send questions and answers in your LIVE,Allow viewers to see and send questions and answers in your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to see and send questions and answers in your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to see and send questions and answers in your LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to see and send questions and answers in your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to request to go LIVE with you,Allow viewers to request to go LIVE with you,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to request to go LIVE with you""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to request to go LIVE with you""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to request to go LIVE with you,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Allow suggested LIVE hosts to invite you to co-host in LIVE,Allow suggested LIVE hosts to invite you to co-host in LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow suggested LIVE hosts to invite you to co-host in LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow suggested LIVE hosts to invite you to co-host in LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow suggested LIVE hosts to invite you to co-host in LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Allow people to send and receive comments during your LIVE,Allow people to send and receive comments during your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow people to send and receive comments during your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow people to send and receive comments during your LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow people to send and receive comments during your LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Allow others to invite you to co-host in LIVE,Allow others to invite you to co-host in LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow others to invite you to co-host in LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow others to invite you to co-host in LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow others to invite you to co-host in LIVE,pre-trial,
Tiktok Live:Go Live Settings:SettingsMap:Allow agencies to find and invite you,Allow agencies to find and invite you,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow agencies to find and invite you""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow agencies to find and invite you""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow agencies to find and invite you,pre-trial,
Tiktok Live:Go Live History:GoLiveList,GoLiveList,"[""Tiktok Live"", ""Go Live History"", ""GoLiveList""]",,"[""Tiktok Live"", ""Go Live History"", ""GoLiveList""]",static,object,,No,Tiktok Live:Go Live History:GoLiveList,pre-trial,
TikTok Shop:Vouchers:Vouchers,Vouchers,"[""TikTok Shop"", ""Vouchers"", ""Vouchers""]",,"[""TikTok Shop"", ""Vouchers"", ""Vouchers""]",static,object,,No,,pre-trial,
TikTok Shop:Shopping Cart List:ShoppingCart,ShoppingCart,"[""TikTok Shop"", ""Shopping Cart List"", ""ShoppingCart""]",,"[""TikTok Shop"", ""Shopping Cart List"", ""ShoppingCart""]",static,object,,No,,pre-trial,
TikTok Shop:Saved Address Information:SavedAddress,SavedAddress,"[""TikTok Shop"", ""Saved Address Information"", ""SavedAddress""]",,"[""TikTok Shop"", ""Saved Address Information"", ""SavedAddress""]",static,object,,No,,pre-trial,
TikTok Shop:Returns and Refunds History:ReturnAndRefundHistories,ReturnAndRefundHistories,"[""TikTok Shop"", ""Returns and Refunds History"", ""ReturnAndRefundHistories""]",,"[""TikTok Shop"", ""Returns and Refunds History"", ""ReturnAndRefundHistories""]",static,object,,No,,pre-trial,
TikTok Shop:Product Reviews:ProductReviewHistories,ProductReviewHistories,"[""TikTok Shop"", ""Product Reviews"", ""ProductReviewHistories""]",,"[""TikTok Shop"", ""Product Reviews"", ""ProductReviewHistories""]",static,object,,No,,pre-trial,
TikTok Shop:Product Browsing History:ProductBrowsingHistories,ProductBrowsingHistories,"[""TikTok Shop"", ""Product Browsing History"", ""ProductBrowsingHistories""]",,"[""TikTok Shop"", ""Product Browsing History"", ""ProductBrowsingHistories""]",static,object,,No,,pre-trial,
TikTok Shop:Order History:OrderHistories,OrderHistories,"[""TikTok Shop"", ""Order History"", ""OrderHistories""]",,"[""TikTok Shop"", ""Order History"", ""OrderHistories""]",static,object,,No,,pre-trial,
TikTok Shop:Order Dispute History:OrderDisputeHistories,OrderDisputeHistories,"[""TikTok Shop"", ""Order Dispute History"", ""OrderDisputeHistories""]",,"[""TikTok Shop"", ""Order Dispute History"", ""OrderDisputeHistories""]",static,object,,No,,pre-trial,
TikTok Shop:Customer Support History:CustomerSupportHistories,CustomerSupportHistories,"[""TikTok Shop"", ""Customer Support History"", ""CustomerSupportHistories""]",,"[""TikTok Shop"", ""Customer Support History"", ""CustomerSupportHistories""]",static,object,,No,,pre-trial,
TikTok Shop:Current Payment Information:PayCard,PayCard,"[""TikTok Shop"", ""Current Payment Information"", ""PayCard""]",,"[""TikTok Shop"", ""Current Payment Information"", ""PayCard""]",static,object,,No,,pre-trial,
TikTok Shop:Communication With Shops:CommunicationHistories,CommunicationHistories,"[""TikTok Shop"", ""Communication With Shops"", ""CommunicationHistories""]",,"[""TikTok Shop"", ""Communication With Shops"", ""CommunicationHistories""]",static,object,,No,,pre-trial,
Poi Review:POI Review:ReviewsList:Status,Status,"[""Poi Review"", ""POI Review"", ""ReviewsList"", ""Status""]","[""Poi Review"", ""POI Review"", ""ReviewsList""]","[""Status""]",list,string,,No,,pre-trial,
Video:RecentlyDeletedPosts:PostList:Sound,Sound,"[""Video"", ""RecentlyDeletedPosts"", ""PostList"", ""Sound""]","[""Video"", ""RecentlyDeletedPosts"", ""PostList""]","[""Sound""]",list,string,,No,,pre-trial,
Post:Posts:VideoList:Sound,Sound,"[""Post"", ""Posts"", ""VideoList"", ""Sound""]","[""Post"", ""Posts"", ""VideoList""]","[""Sound""]",list,string,,No,Video:Videos:VideoList:Sound,pre-trial,
Video:Videos:VideoList:Sound,Sound,"[""Video"", ""Videos"", ""VideoList"", ""Sound""]","[""Video"", ""Videos"", ""VideoList""]","[""Sound""]",list,string,,No,Video:Videos:VideoList:Sound,pre-trial,
Activity:Share History:ShareHistoryList:SharedContent,SharedContent,"[""Activity"", ""Share History"", ""ShareHistoryList"", ""SharedContent""]","[""Activity"", ""Share History"", ""ShareHistoryList""]","[""SharedContent""]",list,string,,No,,pre-trial,
Your Activity:Searches:SearchList:SearchTerm,SearchTerm,"[""Your Activity"", ""Searches"", ""SearchList"", ""SearchTerm""]","[""Your Activity"", ""Searches"", ""SearchList""]","[""SearchTerm""]",list,string,,No,Activity:Search History:SearchList:SearchTerm,pre-trial,
Activity:Search History:SearchList:SearchTerm,SearchTerm,"[""Activity"", ""Search History"", ""SearchList"", ""SearchTerm""]","[""Activity"", ""Search History"", ""SearchList""]","[""SearchTerm""]",list,string,,No,Activity:Search History:SearchList:SearchTerm,pre-trial,
Poi Review:POI Review:ReviewsList:ReviewText,ReviewText,"[""Poi Review"", ""POI Review"", ""ReviewsList"", ""ReviewText""]","[""Poi Review"", ""POI Review"", ""ReviewsList""]","[""ReviewText""]",list,string,,No,,pre-trial,
Activity:Status:Status List:Resolution,Resolution,"[""Activity"", ""Status"", ""Status List"", ""Resolution""]","[""Activity"", ""Status"", ""Status List""]","[""Resolution""]",list,string,,No,,pre-trial,
Your Activity:Status:Status List:Resolution,Resolution,"[""Your Activity"", ""Status"", ""Status List"", ""Resolution""]","[""Your Activity"", ""Status"", ""Status List""]","[""Resolution""]",list,string,,No,,pre-trial,
Poi Review:POI Review:ReviewsList:Rating,Rating,"[""Poi Review"", ""POI Review"", ""ReviewsList"", ""Rating""]","[""Poi Review"", ""POI Review"", ""ReviewsList""]","[""Rating""]",list,string,,No,,pre-trial,
Profile:Profile Information:ProfileMap:userName,userName,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""userName""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""userName""]",static,string,,No,Profile:Profile Information:ProfileMap:userName,pre-trial,
Profile:Profile Information:ProfileMap:telephoneNumber,telephoneNumber,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""telephoneNumber""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""telephoneNumber""]",static,string,,No,,pre-trial,
Profile:Profile Information:ProfileMap:profileVideo,profileVideo,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""profileVideo""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""profileVideo""]",static,string,,No,,pre-trial,
Profile:Profile Information:ProfileMap:profilePhoto,profilePhoto,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""profilePhoto""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""profilePhoto""]",static,string,,No,,pre-trial,
Profile:Profile Information:ProfileMap:likesReceived,likesReceived,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""likesReceived""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""likesReceived""]",static,string,,No,Profile:Profile Information:ProfileMap:likesReceived,pre-trial,
Profile:Profile Information:ProfileMap:emailAddress,emailAddress,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""emailAddress""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""emailAddress""]",static,string,,No,,pre-trial,
Profile:Profile Information:ProfileMap:birthDate,birthDate,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""birthDate""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""birthDate""]",static,string,,No,,pre-trial,
Profile:Profile Information:ProfileMap:bioDescription,bioDescription,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""bioDescription""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""bioDescription""]",static,string,,No,,pre-trial,
Profile:Profile Information:App,App,"[""Profile"", ""Profile Information"", ""App""]",,"[""Profile"", ""Profile Information"", ""App""]",static,number,,No,,pre-trial,
Profile:Profile Info:ProfileMap:userName,userName,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""userName""]",,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""userName""]",static,string,,No,Profile:Profile Information:ProfileMap:userName,pre-trial,
